collectionid,title,description,creator,donor,date,date is approximate,subject,location,location (lcsh),latitude,longitude,relation,publisher,source,identifier,rights,format original,type,format,language,rightsstatement,cdmid,objectid,original-objectid,reference_url
plcphotos,Lewiston Mill [07],An aerial photograph of the Lewiston Mill. It is to be noted that the dam that use to sit east of the mill is now gone. It is also noted that what use to be the log ponds have since filled in more.,,,1980-09-03,,aerial photographs; aerial photography; sawmills; pulp mills,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426414,-116.97005,,,"MG 457, Box 203 Folder 38, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_203_38_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,349,lewiston-plc001,plcphotos349,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos349.html
plcphotos,Log jam [01],Logs jam underneath the Spalding railroad bridge during a log drive.,,,1966-05-05,,railroads (infrastructure); rivers; log (wood),United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.450246,-116.809242,,,"MG 457, Box 203 Folder 40, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_203_40_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,350,lewiston-plc002,plcphotos350,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos350.html
plcphotos,Lewiston Mill [08],"An aerial photograph looking west towards Lewiston, Idaho and Clarkston, Washington and over the Potlatch Mill. In the lower right hand corner is the dam over the Clearwater river.",,,1960,yes,aerial photographs; aerial photography; sawmills; pulp mills,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.429638,-116.948335,,,"MG 457, Box 203 Folder 38, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_203_38_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,352,lewiston-plc003,plcphotos352,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos352.html
plcphotos,Large logs,"A man stands next to a log to show scale of said log. Taken in the Lewiston, Idaho yard.",,,1950,yes,log (wood),United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426054,-116.964091,,,"MG 457, Box 204 Folder 79, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_79_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,695,lewiston-plc004,plcphotos695,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos695.html
plcphotos,Scaling school,Three men kneel near logs next to the railroad tracks. Two of the men are learning how to scale logs.,,,1966-04-05,,log (wood); log scale; railroads (infrastructure),United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426054,-116.964091,,,"MG 457, Box 204 Folder 79, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_79_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,696,lewiston-plc005,plcphotos696,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos696.html
plcphotos,Fence display,Potlatch-made fence on display.,,,1960,yes,display types,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.429072,-116.978597,,,"MG 457, Box 204 Folder 93, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_92_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,772,lewiston-plc006,plcphotos772,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos772.html
plcphotos,Inserting beams,A crane lowers a lumber beam as part of construction on the Clearwater plant.,,,1955,yes,cranes; construction sites,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.429072,-116.978597,,,"MG 457, Box 204 Folder 94, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_92_003,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,773,lewiston-plc007,plcphotos773,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos773.html
plcphotos,Lumber boards,Boards of lumber sit waiting to be either purchased or transported,,,1950,yes,lumber,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.429072,-116.978597,,,"MG 457, Box 204 Folder 96, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_92_005,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,775,lewiston-plc008,plcphotos775,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos775.html
plcphotos,Promoting lumber,A truck loaded with lumber boards is parked in Lewiston. The sign on top reads &#39;Weyerhaeuser 4 square Lumber with individuality&#39;,,"Anderson, J. F.",1925,yes,lumber; trucks,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.429072,-116.978597,,,"MG 457, Box 204 Folder 97, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_92_006,"Potlatch Corporation retains all rights in any trade name, or trademark of Potlatch Corporation related to these Items, and copyright to company magazines and newsletters until such copyrights transfer into the public domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,776,lewiston-plc009,plcphotos776,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos776.html
plcphotos,Packing toilet tissues,A young man packs toilet tissue into boxes at the Clearwater plant,,Richards Studio,1964,yes,machinery,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426587,-116.967139,,,"MG 457, Box 204 Folder 90, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/",457_204_90_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,872,lewiston-plc010,plcphotos872,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos872.html
plcphotos,Playhouse,Two children play inside a playhouse made by Potlatch Lumber Company while another girl &#39;sweeps&#39; the doorway,,"Rader, Fran",1960,yes,children (people by age group); children&#39;s playhouses,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426587,-116.967139,,,"MG 457, Box 204 Folder 90, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_90_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,873,lewiston-plc011,plcphotos873,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos873.html
plcphotos,Lumber,"Inside on of Potlatch&#39;s mills. Sticks of wrapped and unwrapped lumber sit, waiting to be transported for building.",,Claar Studio,1960,yes,lumber,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426587,-116.967139,,,"MG 457, Box 204 Folder 90, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_90_003,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,874,lewiston-plc012,plcphotos874,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos874.html
plcphotos,Inside of a house with a Potlatch made roof,The inside of a house who&#39;s roof was made by Potlatch products.,,,1955,yes,ceilings,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426587,-116.967139,,,"MG 457, Box 204 Folder 90, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_90_004,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,875,lewiston-plc013,plcphotos875,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos875.html
plcphotos,Siding made by Potlatch,The siding of this commercial center was made by Potlatch lumber,,,1960,yes,buildings (structures),United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426587,-116.967139,,,"MG 457, Box 204 Folder 90, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_90_005,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,876,lewiston-plc014,plcphotos876,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos876.html
plcphotos,Showing off Potlatch fence lumber,This store displays a model of a fence that used Potlatch lumber,,,1960,yes,display types,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426587,-116.967139,,,"MG 457, Box 204 Folder 90, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_90_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,877,lewiston-plc015,plcphotos877,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos877.html
plcphotos,A-Frame house,Two men stand in front of an A-Frame house made from Potlatch products.,,,1960,yes,A-frame houses,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426587,-116.967139,,,"MG 457, Box 204 Folder 90, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_90_007,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,878,lewiston-plc016,plcphotos878,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos878.html
plcphotos,Demonstration of Potlatch products,A man demonstrates the uses for Potlatch wood in a wood-paneled covered room.,,,1960,yes,display types,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.426587,-116.967139,,,"MG 457, Box 204 Folder 91, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_91_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,879,lewiston-plc017,plcphotos879,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos879.html
plcphotos,Loading lumber [02],Two men load long boards of lumber into a train car,,Claar Studio,1955,yes,lumber,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.429072,-116.978597,,,"MG 457, Box 204 Folder 91, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_91_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,880,lewiston-plc018,plcphotos880,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos880.html
plcphotos,Loading lumber [01],A man uses a tool to help guide the lumber into a railroad car while two men watch,,Claar Studio,1955,yes,lumber; railroad cars,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.429072,-116.978597,,,"MG 457, Box 204 Folder 91, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_91_003,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,881,lewiston-plc019,plcphotos881,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos881.html
